142	209
234	178
447	190
106	223
374	205
27	249
357	204
188	192
306	199
249	178
181	210
320	211
323	209
353	194
184	203
241	207
435	219
452	211
103	225
102	207
104	195
175	196
224	204
225	193
389	211
280	209
341	205
166	200
165	185
371	203
287	189
8	212
364	194
144	202
121	210
140	194
124	220
14	205
479	210
71	190
493	176
77	219
13	196
37	181
351	198
32	194
273	194
271	191
274	199
50	204
227	203
278	197
302	202
297	214
116	230
159	187
98	181
111	218
448	193
370	193
465	189
233	198
232	198
460	197
119	191
477	195
408	184
392	182
296	202
134	191
179	204
139	197
137	209
